"drug_name","gene_names","drug_name_lower","alias_asgard"
"Trifluridine","TYMS;TK1;TYMP;ALB;SLC22A6;SLC28A1;SLC29A1;SLC29A2","trifluridine","trifluridine"
"Prochlorperazine","DRD2;HRH1;ADRA1A;ADRA1B;ADRA1D;ADRA2A;ADRA2B;ADRA2C;CYP2D6","prochlorperazine","prochlorperazine"
"Bendroflumethiazide","SLC12A3;KCNMA1;CA1;CA2;CA4;TPMT","bendroflumethiazide","bendroflumethiazide"
"Betamethasone","NR3C1;CYP19A1;CYP3A5;CYP3A7;CYP2A6;CYP1B1;CYP2B6;CYP2C8;CYP2C9;CYP2C19;CYP3A4;ALB;SERPINA6;ABCB1","betamethasone","betamethasone"
"Teniposide","TOP2A;CYP3A5;CYP2C19;CYP2C9;CYP3A4;ABCC6;ABCG2","teniposide","teniposide"
"Epirubicin","TOP2A;UGT2B7;PLA2G4A;ABCC1","epirubicin","epirubicin"
"Droperidol","ADRA1A;DRD2","droperidol","droperidol"
"Prazosin","ADRA1A;ADRA1B;ADRA1D;KCNH2;ADRA2A;ADRA2B;ORM1;SLC22A1;SLC22A3;ABCB1;ABCG2","prazosin","prazosin"
"Acitretin","RXRA;RARA;RARB;RARG;RXRB;RXRG;RBP1;ALB","acitretin","acitretin"
"Fluoxetine","SLC6A4;HTR2C;CHRNA2;CHRNA3;CHRNB4;CKS1B;KCNH2;CYP2B6;CYP3A5;CYP2C9;CYP2D6;CYP2B;CYP1A2;CYP3A4;CYP2C19;ALB;ORM1;ABCB1","fluoxetine","fluoxetine"
"Hexylcaine","SCN5A;SCN10A","hexylcaine","hexylcaine"
"Chlorpromazine","DRD2;DRD1;HTR1A;HTR2A;ADRA1A;ADRA1B;HRH1;KCNH2;DRD5;DRD3;DRD4;HTR2C;HTR2B;ADRA1D;ADRA2A;ADRA2B;ADRA2C;CHRM1;CHRM3;SMPD1;CALM1;ORM1;ORM2;HTR6;HTR7;HRH4;CYP2D6;CYP1A2;CYP2E1;CYP3A4;BCHE;ALB;ABCB1;ABCB11","chlorpromazine","chlorpromazine"
"Celecoxib","PTGS2;CA2;CA3;CDH11;PDPK1;NEU1;CYP3A4;CYP2C9;CYP2D6;CYP2C8;ABCC4;ABCB11;ABCB1;ABCG2","celecoxib","celecoxib"
"Tolmetin","PTGS2;PTGS1;TDO2;MPO;ALB;SLC22A6","tolmetin","tolmetin"
"Cimetidine","HRH2;CYP11B1;CYP2C8;CYP2C9;CYP2E1;FMO3;FMO1;CYP1A2;CYP2D6;CYP2C19;CYP3A4;CYP3A5;ALB;ABCB1;SLC22A2;SLC22A1;SLC22A3;SLC22A5;SLC22A6;SLC22A8;SLC47A1;SLC22A4;SLC22A11;SLC22A7;ABCB11;SLC47A2","cimetidine","cimetidine"
"Triflupromazine","DRD2;DRD1;HTR2B;CHRM1;CHRM2;BCHE;ABCB1","triflupromazine","triflupromazine"
"Dextromethorphan","SIGMAR1;GRIN3A;CHRNA2;SLC6A4;PGRMC1;CHRNA3;CHRNA4;CHRNB4;CHRNB2;CHRNA7;OPRM1;OPRD1;OPRK1;CYBB;CYBA;NCF1;NCF2;NCF4;RAC1;RAC2;SLC6A2;CYP2D6;CYP3A4;CYP3A7;CYP2B6;CYP2C19;CYP2C9;UGT2B4;UGT2B7;UGT2B15;UGT2B17","dextromethorphan","dextromethorphan"
"Albendazole","TUBA1A;TUBB4B;CYP1A1;CYP1A2;CYP3A4;CYP2C19;ABCB1","albendazole","albendazole"
"Carteolol","ADRB2;ADRB1;CYP2D6","carteolol","carteolol"
"Alitretinoin","RARA;RXRA;RARB;RXRB;RARG;RXRG;IGFBP3;PSG5;CYP26C1;CRABP2;CRABP1;ABCB1","alitretinoin","alitretinoin"
"Erlotinib","NR1I2;EGFR;CYP3A4;CYP3A5;CYP1A2;CYP1A1;CYP2D6;CYP2C8;CYP1B1;UGT1A1;ALB;ORM1;ABCG2;ABCB1;SLCO2B1","erlotinib","erlotinib"
"Rofecoxib","PTGS2;ELN;PTGS1;CYP2C8;CYP2C9;CYP3A4;CYP1A2;ABCC4","rofecoxib","rofecoxib"
"Toremifene","ESR1;SHBG;CYP1A1;CYP3A4;ABCB1","toremifene","toremifene"
"Nortriptyline","SLC6A2;SLC6A4;HTR2A;HTR1A;HRH1;ADRA1A;ADRA1D;HTR2C;ADRA1B;ADRA2A;ADRA2B;ADRA2C;ADRB1;ADRB2;ADRB3;DRD2;PGRMC1;SIGMAR1;CHRM1;CHRM2;CHRM3;CHRM4;CHRM5;CYP2D6;CYP3A4;CYP1A2;CYP2C19;CYP3A5;CYP2E1;ALB;ORM1;ABCB1","nortriptyline","nortriptyline"
"Vincristine","TUBB;TUBA4A;CYP3A4;CYP3A5;CYP3A7;ABCB1;ABCC3;SLC22A3;ABCC1;ABCC10;ABCC2;ABCB11;ABCG2;RALBP1;SLCO1B1;SLCO1B3","vincristine","vincristine"
